[Mon Jan 13 16:29:37 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:02 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:03 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:03 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:04 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:05 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:06 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:06 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:07 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:08 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:08 2025] >> ... 	>>> A0 & A1 & B7 & ~A5                                           	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:09 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:10 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:11 2025] >> ... 	>>> ~A6 & ~B1                                                    	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:11 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:12 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:13 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:13 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:14 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:15 2025] >> ... 	>>> B7 & ~A6                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:16 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:16 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:17 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:18 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:19 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:19 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:20 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:21 2025] >> ... 	>>> (B7 & ~A7) | (A0 & ~A1 & ~A7)                                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:22 2025] >> ... 	>>> B0 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:22 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:23 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:24 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:25 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:26 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:26 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:27 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:28 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:29 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:29 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:30 2025] >> ... 	>>> B6 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:31 2025] >> ... 	>>> B7 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:32 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:33 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:33 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:34 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:35 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:36 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:37 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:37 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:38 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:39 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:40 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:41 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:42 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:42 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:43 2025] >> ... 	>>> (A0 & B6 & ~A1 & ~B7) | (A1 & B6 & ~A0 & ~B7)                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:44 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:45 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:45 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:46 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:47 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:47 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:48 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:49 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:49 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:50 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:51 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:52 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:52 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:53 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:54 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:30:54 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:55 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:56 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:56 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:57 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:58 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:59 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:59 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:00 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:01 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:01 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:02 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:03 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:04 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:04 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:05 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:06 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:07 2025] >> ... 	>>> A2 & B7 & ~A5                                                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:07 2025] >> ... 	>>> (A0 & ~A7) | (A2 & ~A7) | (A6 & ~A7)                         	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:08 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:09 2025] >> ... 	>>> (A0 & ~A6 & ~B1) | (A2 & ~A6 & ~B1)                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:09 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:10 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:11 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:12 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:12 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:13 2025] >> ... 	>>> B7 & ~A6                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:14 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:15 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:15 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:16 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:17 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:18 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:18 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:19 2025] >> ... 	>>> (B7 & ~A7) | (A0 & ~A2 & ~A7)                                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:20 2025] >> ... 	>>> B0 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:21 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:22 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:22 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:23 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:24 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:25 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:26 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:26 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:27 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:28 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:29 2025] >> ... 	>>> B6 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:30 2025] >> ... 	>>> B7 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:30 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:31 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:32 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:33 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:34 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:35 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:35 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:36 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:37 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:38 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:39 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:39 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:40 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:41 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:42 2025] >> ... 	>>> A0 & B6 & ~A2 & ~B7                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:43 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:43 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:44 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:45 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:46 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:46 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:47 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:48 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:48 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:49 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:50 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:51 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:51 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:52 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:53 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:54 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:54 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:55 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:56 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:57 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:31:57 2025] >> ... 	>>> A3 & B7 & ~A5                                                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:58 2025] >> ... 	>>> (A0 & ~A7) | (A3 & ~A7) | (A6 & ~A7)                         	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:31:59 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:00 2025] >> ... 	>>> (A0 & ~A6 & ~B1) | (A3 & ~A6 & ~B1)                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:00 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:01 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:02 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:03 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:03 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:04 2025] >> ... 	>>> B7 & ~A6                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:05 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:06 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:06 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:07 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:08 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:09 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:09 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:10 2025] >> ... 	>>> (B7 & ~A7) | (A0 & ~A3 & ~A7)                                	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:11 2025] >> ... 	>>> B0 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:12 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:13 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:13 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:14 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:15 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:16 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:17 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:18 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:18 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:19 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:20 2025] >> ... 	>>> B6 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:21 2025] >> ... 	>>> B7 & ~B1                                                     	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:32:22 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:23 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:23 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:24 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:25 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:26 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:27 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:28 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:28 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:29 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:30 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:31 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:32 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:33 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:32:34 2025] >> ... 	>>> A0 & B6 & ~A3 & ~B7                                          	>>> 0 [106, 189] 	[EQ in Cache]
