[Tue Jun 25 11:54:14 2024] >> 
[Tue Jun 25 11:54:14 2024] >> PROGRAM START
[Tue Jun 25 12:07:55 2024] >> testing accuracy: 0.4856
[Tue Jun 25 12:08:14 2024] >> training [039]: 0.5942
[Tue Jun 25 12:08:16 2024] >> testing accuracy: 0.4886
[Tue Jun 25 12:08:34 2024] >> training [040]: 0.5962
[Tue Jun 25 12:08:36 2024] >> testing accuracy: 0.4977
[Tue Jun 25 12:08:55 2024] >> training [041]: 0.6049
[Tue Jun 25 12:08:57 2024] >> testing accuracy: 0.5043
[Tue Jun 25 12:09:15 2024] >> training [042]: 0.6076
[Tue Jun 25 12:09:17 2024] >> testing accuracy: 0.4881
[Tue Jun 25 12:09:36 2024] >> training [043]: 0.6147
[Tue Jun 25 12:09:38 2024] >> testing accuracy: 0.494
[Tue Jun 25 12:09:57 2024] >> training [044]: 0.6169
[Tue Jun 25 12:09:59 2024] >> testing accuracy: 0.5041
[Tue Jun 25 12:10:17 2024] >> training [045]: 0.6244
[Tue Jun 25 12:10:19 2024] >> testing accuracy: 0.5033
[Tue Jun 25 12:10:38 2024] >> training [046]: 0.6295
[Tue Jun 25 12:10:40 2024] >> testing accuracy: 0.5113
[Tue Jun 25 12:10:59 2024] >> training [047]: 0.6334
[Tue Jun 25 12:11:00 2024] >> testing accuracy: 0.5066
[Tue Jun 25 12:11:19 2024] >> training [048]: 0.6394
[Tue Jun 25 12:11:21 2024] >> testing accuracy: 0.5055
[Tue Jun 25 12:11:40 2024] >> training [049]: 0.6449
[Tue Jun 25 12:11:42 2024] >> testing accuracy: 0.5078
[Tue Jun 25 12:12:01 2024] >> training [050]: 0.6484
[Tue Jun 25 12:12:03 2024] >> testing accuracy: 0.515
[Tue Jun 25 12:12:22 2024] >> training [051]: 0.6556
[Tue Jun 25 12:12:23 2024] >> testing accuracy: 0.5162
[Tue Jun 25 12:12:42 2024] >> training [052]: 0.6590
[Tue Jun 25 12:12:44 2024] >> testing accuracy: 0.5109
[Tue Jun 25 12:13:03 2024] >> training [053]: 0.6647
[Tue Jun 25 12:13:05 2024] >> testing accuracy: 0.5196
[Tue Jun 25 12:13:24 2024] >> training [054]: 0.6679
[Tue Jun 25 12:13:26 2024] >> testing accuracy: 0.5195
[Tue Jun 25 12:13:44 2024] >> training [055]: 0.6713
[Tue Jun 25 12:13:46 2024] >> testing accuracy: 0.5102
[Tue Jun 25 12:14:05 2024] >> training [056]: 0.6754
[Tue Jun 25 12:14:07 2024] >> testing accuracy: 0.522
[Tue Jun 25 12:14:25 2024] >> training [057]: 0.6803
[Tue Jun 25 12:14:27 2024] >> testing accuracy: 0.514
[Tue Jun 25 12:14:46 2024] >> training [058]: 0.6900
[Tue Jun 25 12:14:48 2024] >> testing accuracy: 0.5172
[Tue Jun 25 12:15:06 2024] >> training [059]: 0.6900
[Tue Jun 25 12:15:08 2024] >> testing accuracy: 0.5244
[Tue Jun 25 12:15:27 2024] >> training [060]: 0.6981
[Tue Jun 25 12:15:29 2024] >> testing accuracy: 0.5153
[Tue Jun 25 12:15:48 2024] >> training [061]: 0.7014
[Tue Jun 25 12:15:50 2024] >> testing accuracy: 0.5137
[Tue Jun 25 12:16:08 2024] >> training [062]: 0.7062
[Tue Jun 25 12:16:10 2024] >> testing accuracy: 0.5137
[Tue Jun 25 12:16:29 2024] >> training [063]: 0.7122
[Tue Jun 25 12:16:31 2024] >> testing accuracy: 0.5231
[Tue Jun 25 12:16:50 2024] >> training [064]: 0.7119
[Tue Jun 25 12:16:52 2024] >> testing accuracy: 0.5228
[Tue Jun 25 12:17:11 2024] >> training [065]: 0.7165
[Tue Jun 25 12:17:13 2024] >> testing accuracy: 0.5192
[Tue Jun 25 12:17:31 2024] >> training [066]: 0.7224
[Tue Jun 25 12:17:33 2024] >> testing accuracy: 0.5246
[Tue Jun 25 12:17:52 2024] >> training [067]: 0.7278
[Tue Jun 25 12:17:54 2024] >> testing accuracy: 0.5153
[Tue Jun 25 12:18:13 2024] >> training [068]: 0.7333
[Tue Jun 25 12:18:15 2024] >> testing accuracy: 0.5142
[Tue Jun 25 12:18:34 2024] >> training [069]: 0.7352
[Tue Jun 25 12:18:36 2024] >> testing accuracy: 0.5258
[Tue Jun 25 12:18:54 2024] >> training [070]: 0.7431
[Tue Jun 25 12:18:56 2024] >> testing accuracy: 0.5257
[Tue Jun 25 12:19:15 2024] >> training [071]: 0.7436
[Tue Jun 25 12:19:17 2024] >> testing accuracy: 0.5228
[Tue Jun 25 12:19:36 2024] >> training [072]: 0.7506
[Tue Jun 25 12:19:38 2024] >> testing accuracy: 0.5263
[Tue Jun 25 12:19:57 2024] >> training [073]: 0.7528
[Tue Jun 25 12:19:59 2024] >> testing accuracy: 0.5266
[Tue Jun 25 12:20:17 2024] >> training [074]: 0.7582
[Tue Jun 25 12:20:19 2024] >> testing accuracy: 0.5235
[Tue Jun 25 12:20:38 2024] >> training [075]: 0.7613
[Tue Jun 25 12:20:40 2024] >> testing accuracy: 0.5189
[Tue Jun 25 12:20:59 2024] >> training [076]: 0.7650
[Tue Jun 25 12:21:01 2024] >> testing accuracy: 0.525
[Tue Jun 25 12:21:20 2024] >> training [077]: 0.7726
[Tue Jun 25 12:21:22 2024] >> testing accuracy: 0.5277
[Tue Jun 25 12:21:41 2024] >> training [078]: 0.7747
[Tue Jun 25 12:21:43 2024] >> testing accuracy: 0.5305
[Tue Jun 25 12:22:01 2024] >> training [079]: 0.7760
[Tue Jun 25 12:22:03 2024] >> testing accuracy: 0.5334
[Tue Jun 25 12:22:22 2024] >> training [080]: 0.7806
[Tue Jun 25 12:22:24 2024] >> testing accuracy: 0.5256
[Tue Jun 25 12:22:43 2024] >> training [081]: 0.7872
[Tue Jun 25 12:22:45 2024] >> testing accuracy: 0.534
[Tue Jun 25 12:23:04 2024] >> training [082]: 0.7885
[Tue Jun 25 12:23:05 2024] >> testing accuracy: 0.5301
[Tue Jun 25 12:23:24 2024] >> training [083]: 0.7976
[Tue Jun 25 12:23:26 2024] >> testing accuracy: 0.5293
[Tue Jun 25 12:23:45 2024] >> training [084]: 0.8002
[Tue Jun 25 12:23:47 2024] >> testing accuracy: 0.5256
[Tue Jun 25 12:24:05 2024] >> training [085]: 0.8022
[Tue Jun 25 12:24:07 2024] >> testing accuracy: 0.5341
[Tue Jun 25 12:24:26 2024] >> training [086]: 0.8070
[Tue Jun 25 12:24:28 2024] >> testing accuracy: 0.5352
[Tue Jun 25 12:24:47 2024] >> training [087]: 0.8128
[Tue Jun 25 12:24:48 2024] >> testing accuracy: 0.5318
[Tue Jun 25 12:25:07 2024] >> training [088]: 0.8113
[Tue Jun 25 12:25:09 2024] >> testing accuracy: 0.5333
[Tue Jun 25 12:25:28 2024] >> training [089]: 0.8177
[Tue Jun 25 12:25:30 2024] >> testing accuracy: 0.5365
[Tue Jun 25 12:25:48 2024] >> training [090]: 0.8217
[Tue Jun 25 12:25:50 2024] >> testing accuracy: 0.53
[Tue Jun 25 12:26:09 2024] >> training [091]: 0.8258
[Tue Jun 25 12:26:11 2024] >> testing accuracy: 0.5309
[Tue Jun 25 12:26:30 2024] >> training [092]: 0.8264
[Tue Jun 25 12:26:32 2024] >> testing accuracy: 0.5323
[Tue Jun 25 12:26:50 2024] >> training [093]: 0.8298
[Tue Jun 25 12:26:52 2024] >> testing accuracy: 0.5334
[Tue Jun 25 12:27:11 2024] >> training [094]: 0.8300
[Tue Jun 25 12:27:13 2024] >> testing accuracy: 0.5297
[Tue Jun 25 12:27:31 2024] >> training [095]: 0.8391
[Tue Jun 25 12:27:33 2024] >> testing accuracy: 0.5316
[Tue Jun 25 12:27:51 2024] >> training [096]: 0.8427
[Tue Jun 25 12:27:53 2024] >> testing accuracy: 0.529
[Tue Jun 25 12:28:12 2024] >> training [097]: 0.8406
[Tue Jun 25 12:28:14 2024] >> testing accuracy: 0.5382
[Tue Jun 25 12:28:33 2024] >> training [098]: 0.8476
[Tue Jun 25 12:28:34 2024] >> testing accuracy: 0.5354
[Tue Jun 25 12:28:53 2024] >> training [099]: 0.8475
[Tue Jun 25 12:28:55 2024] >> testing accuracy: 0.5309
[Tue Jun 25 12:28:55 2024] >> TRAINING RESULT SAVED: ./modeloutput/darknetCifar100.pt
[Tue Jun 25 12:28:55 2024] >> 
[Tue Jun 25 12:28:55 2024] >> network: squeezenetCifar100
[Tue Jun 25 12:29:15 2024] >> training [000]: 0.0762
[Tue Jun 25 12:29:17 2024] >> testing accuracy: 0.1157
[Tue Jun 25 12:29:36 2024] >> training [001]: 0.1434
[Tue Jun 25 12:29:38 2024] >> testing accuracy: 0.1792
[Tue Jun 25 12:29:58 2024] >> training [002]: 0.1957
[Tue Jun 25 12:30:00 2024] >> testing accuracy: 0.2069
[Tue Jun 25 12:30:19 2024] >> training [003]: 0.2322
[Tue Jun 25 12:30:21 2024] >> testing accuracy: 0.2284
[Tue Jun 25 12:30:41 2024] >> training [004]: 0.2625
[Tue Jun 25 12:30:43 2024] >> testing accuracy: 0.2802
[Tue Jun 25 12:31:03 2024] >> training [005]: 0.2938
[Tue Jun 25 12:31:04 2024] >> testing accuracy: 0.2984
[Tue Jun 25 12:31:24 2024] >> training [006]: 0.3174
[Tue Jun 25 12:31:26 2024] >> testing accuracy: 0.3288
[Tue Jun 25 12:31:46 2024] >> training [007]: 0.3387
[Tue Jun 25 12:31:48 2024] >> testing accuracy: 0.3295
[Tue Jun 25 12:32:07 2024] >> training [008]: 0.3566
[Tue Jun 25 12:32:09 2024] >> testing accuracy: 0.368
[Tue Jun 25 12:32:29 2024] >> training [009]: 0.3769
[Tue Jun 25 12:32:31 2024] >> testing accuracy: 0.3723
[Tue Jun 25 12:32:50 2024] >> training [010]: 0.3929
[Tue Jun 25 12:32:52 2024] >> testing accuracy: 0.3692
[Tue Jun 25 12:33:12 2024] >> training [011]: 0.4032
[Tue Jun 25 12:33:14 2024] >> testing accuracy: 0.3969
[Tue Jun 25 12:33:34 2024] >> training [012]: 0.4182
[Tue Jun 25 12:33:36 2024] >> testing accuracy: 0.3962
[Tue Jun 25 12:33:55 2024] >> training [013]: 0.4294
[Tue Jun 25 12:33:57 2024] >> testing accuracy: 0.4209
[Tue Jun 25 12:34:17 2024] >> training [014]: 0.4420
[Tue Jun 25 12:34:19 2024] >> testing accuracy: 0.409
[Tue Jun 25 12:34:38 2024] >> training [015]: 0.4512
[Tue Jun 25 12:34:40 2024] >> testing accuracy: 0.4303
[Tue Jun 25 12:35:00 2024] >> training [016]: 0.4611
[Tue Jun 25 12:35:02 2024] >> testing accuracy: 0.4421
[Tue Jun 25 12:35:22 2024] >> training [017]: 0.4727
[Tue Jun 25 12:35:24 2024] >> testing accuracy: 0.4613
[Tue Jun 25 12:35:44 2024] >> training [018]: 0.4826
[Tue Jun 25 12:35:46 2024] >> testing accuracy: 0.4525
[Tue Jun 25 12:36:06 2024] >> training [019]: 0.4896
[Tue Jun 25 12:36:08 2024] >> testing accuracy: 0.471
[Tue Jun 25 12:36:28 2024] >> training [020]: 0.4985
[Tue Jun 25 12:36:30 2024] >> testing accuracy: 0.4788
[Tue Jun 25 12:36:50 2024] >> training [021]: 0.5042
[Tue Jun 25 12:36:52 2024] >> testing accuracy: 0.4821
[Tue Jun 25 12:37:12 2024] >> training [022]: 0.5143
[Tue Jun 25 12:37:14 2024] >> testing accuracy: 0.4802
[Tue Jun 25 12:37:34 2024] >> training [023]: 0.5188
[Tue Jun 25 12:37:36 2024] >> testing accuracy: 0.49
[Tue Jun 25 12:37:56 2024] >> training [024]: 0.5254
[Tue Jun 25 12:37:58 2024] >> testing accuracy: 0.4916
[Tue Jun 25 12:38:18 2024] >> training [025]: 0.5325
[Tue Jun 25 12:38:20 2024] >> testing accuracy: 0.5029
[Tue Jun 25 12:38:40 2024] >> training [026]: 0.5363
[Tue Jun 25 12:38:42 2024] >> testing accuracy: 0.5031
[Tue Jun 25 12:39:02 2024] >> training [027]: 0.5469
[Tue Jun 25 12:39:04 2024] >> testing accuracy: 0.5043
[Tue Jun 25 12:39:24 2024] >> training [028]: 0.5491
[Tue Jun 25 12:39:26 2024] >> testing accuracy: 0.5064
[Tue Jun 25 12:39:46 2024] >> training [029]: 0.5555
[Tue Jun 25 12:39:48 2024] >> testing accuracy: 0.5052
[Tue Jun 25 12:40:08 2024] >> training [030]: 0.5620
[Tue Jun 25 12:40:10 2024] >> testing accuracy: 0.5128
[Tue Jun 25 12:40:30 2024] >> training [031]: 0.5626
[Tue Jun 25 12:40:33 2024] >> testing accuracy: 0.5167
[Tue Jun 25 12:40:53 2024] >> training [032]: 0.5705
[Tue Jun 25 12:40:55 2024] >> testing accuracy: 0.5188
[Tue Jun 25 12:41:15 2024] >> training [033]: 0.5750
[Tue Jun 25 12:41:16 2024] >> testing accuracy: 0.5205
[Tue Jun 25 12:41:36 2024] >> training [034]: 0.5800
[Tue Jun 25 12:41:38 2024] >> testing accuracy: 0.5232
[Tue Jun 25 12:41:58 2024] >> training [035]: 0.5859
[Tue Jun 25 12:42:00 2024] >> testing accuracy: 0.5291
[Tue Jun 25 12:42:20 2024] >> training [036]: 0.5897
[Tue Jun 25 12:42:22 2024] >> testing accuracy: 0.5295
[Tue Jun 25 12:42:42 2024] >> training [037]: 0.5953
[Tue Jun 25 12:42:44 2024] >> testing accuracy: 0.5362
[Tue Jun 25 12:43:04 2024] >> training [038]: 0.5979
[Tue Jun 25 12:43:06 2024] >> testing accuracy: 0.5369
[Tue Jun 25 12:43:26 2024] >> training [039]: 0.6059
[Tue Jun 25 12:43:28 2024] >> testing accuracy: 0.5319
[Tue Jun 25 12:43:48 2024] >> training [040]: 0.6075
[Tue Jun 25 12:43:50 2024] >> testing accuracy: 0.5403
[Tue Jun 25 12:44:10 2024] >> training [041]: 0.6156
[Tue Jun 25 12:44:12 2024] >> testing accuracy: 0.5378
[Tue Jun 25 12:44:32 2024] >> training [042]: 0.6157
[Tue Jun 25 12:44:34 2024] >> testing accuracy: 0.5478
[Tue Jun 25 12:44:54 2024] >> training [043]: 0.6250
[Tue Jun 25 12:44:56 2024] >> testing accuracy: 0.5462
[Tue Jun 25 12:45:16 2024] >> training [044]: 0.6252
[Tue Jun 25 12:45:18 2024] >> testing accuracy: 0.5494
[Tue Jun 25 12:45:38 2024] >> training [045]: 0.6322
[Tue Jun 25 12:45:40 2024] >> testing accuracy: 0.547
[Tue Jun 25 12:46:00 2024] >> training [046]: 0.6328
[Tue Jun 25 12:46:02 2024] >> testing accuracy: 0.5459
[Tue Jun 25 12:46:22 2024] >> training [047]: 0.6386
[Tue Jun 25 12:46:24 2024] >> testing accuracy: 0.5538
[Tue Jun 25 12:46:44 2024] >> training [048]: 0.6388
[Tue Jun 25 12:46:46 2024] >> testing accuracy: 0.5469
[Tue Jun 25 12:47:06 2024] >> training [049]: 0.6427
[Tue Jun 25 12:47:08 2024] >> testing accuracy: 0.5587
[Tue Jun 25 12:47:28 2024] >> training [050]: 0.6467
[Tue Jun 25 12:47:30 2024] >> testing accuracy: 0.5584
[Tue Jun 25 12:47:50 2024] >> training [051]: 0.6524
[Tue Jun 25 12:47:52 2024] >> testing accuracy: 0.5595
[Tue Jun 25 12:48:11 2024] >> training [052]: 0.6575
[Tue Jun 25 12:48:13 2024] >> testing accuracy: 0.5563
[Tue Jun 25 12:48:33 2024] >> training [053]: 0.6594
[Tue Jun 25 12:48:35 2024] >> testing accuracy: 0.5598
[Tue Jun 25 12:48:55 2024] >> training [054]: 0.6621
[Tue Jun 25 12:48:57 2024] >> testing accuracy: 0.5563
[Tue Jun 25 12:49:16 2024] >> training [055]: 0.6680
[Tue Jun 25 12:49:18 2024] >> testing accuracy: 0.5537
[Tue Jun 25 12:49:38 2024] >> training [056]: 0.6710
[Tue Jun 25 12:49:40 2024] >> testing accuracy: 0.5593
[Tue Jun 25 12:50:00 2024] >> training [057]: 0.6731
[Tue Jun 25 12:50:02 2024] >> testing accuracy: 0.5591
[Tue Jun 25 12:50:22 2024] >> training [058]: 0.6766
[Tue Jun 25 12:50:24 2024] >> testing accuracy: 0.5618
[Tue Jun 25 12:50:43 2024] >> training [059]: 0.6774
[Tue Jun 25 12:50:45 2024] >> testing accuracy: 0.5638
[Tue Jun 25 12:51:05 2024] >> training [060]: 0.6853
[Tue Jun 25 12:51:07 2024] >> testing accuracy: 0.567
[Tue Jun 25 12:51:27 2024] >> training [061]: 0.6884
[Tue Jun 25 12:51:29 2024] >> testing accuracy: 0.5601
[Tue Jun 25 12:51:48 2024] >> training [062]: 0.6871
[Tue Jun 25 12:51:50 2024] >> testing accuracy: 0.5645
[Tue Jun 25 12:52:10 2024] >> training [063]: 0.6941
[Tue Jun 25 12:52:12 2024] >> testing accuracy: 0.5519
[Tue Jun 25 12:52:31 2024] >> training [064]: 0.6927
[Tue Jun 25 12:52:33 2024] >> testing accuracy: 0.5654
[Tue Jun 25 12:52:52 2024] >> training [065]: 0.6972
[Tue Jun 25 12:52:54 2024] >> testing accuracy: 0.5707
[Tue Jun 25 12:53:14 2024] >> training [066]: 0.7033
[Tue Jun 25 12:53:16 2024] >> testing accuracy: 0.5654
[Tue Jun 25 12:53:36 2024] >> training [067]: 0.7027
[Tue Jun 25 12:53:38 2024] >> testing accuracy: 0.5674
[Tue Jun 25 12:53:57 2024] >> training [068]: 0.7080
[Tue Jun 25 12:53:59 2024] >> testing accuracy: 0.5692
[Tue Jun 25 12:54:20 2024] >> training [069]: 0.7098
[Tue Jun 25 12:54:22 2024] >> testing accuracy: 0.5698
[Tue Jun 25 12:54:42 2024] >> training [070]: 0.7174
[Tue Jun 25 12:54:44 2024] >> testing accuracy: 0.5726
[Tue Jun 25 12:55:04 2024] >> training [071]: 0.7163
[Tue Jun 25 12:55:06 2024] >> testing accuracy: 0.5753
[Tue Jun 25 12:55:26 2024] >> training [072]: 0.7191
[Tue Jun 25 12:55:28 2024] >> testing accuracy: 0.5719
[Tue Jun 25 12:55:47 2024] >> training [073]: 0.7241
[Tue Jun 25 12:55:49 2024] >> testing accuracy: 0.5612
[Tue Jun 25 12:56:09 2024] >> training [074]: 0.7264
[Tue Jun 25 12:56:11 2024] >> testing accuracy: 0.5785
[Tue Jun 25 12:56:30 2024] >> training [075]: 0.7266
[Tue Jun 25 12:56:32 2024] >> testing accuracy: 0.574
[Tue Jun 25 12:56:51 2024] >> training [076]: 0.7270
[Tue Jun 25 12:56:53 2024] >> testing accuracy: 0.5787
[Tue Jun 25 12:57:13 2024] >> training [077]: 0.7334
[Tue Jun 25 12:57:15 2024] >> testing accuracy: 0.5719
[Tue Jun 25 12:57:35 2024] >> training [078]: 0.7354
[Tue Jun 25 12:57:37 2024] >> testing accuracy: 0.5759
[Tue Jun 25 12:57:57 2024] >> training [079]: 0.7419
[Tue Jun 25 12:57:59 2024] >> testing accuracy: 0.5714
[Tue Jun 25 12:58:19 2024] >> training [080]: 0.7406
[Tue Jun 25 12:58:21 2024] >> testing accuracy: 0.5722
[Tue Jun 25 12:58:41 2024] >> training [081]: 0.7432
[Tue Jun 25 12:58:43 2024] >> testing accuracy: 0.57
[Tue Jun 25 12:59:04 2024] >> training [082]: 0.7485
[Tue Jun 25 12:59:06 2024] >> testing accuracy: 0.5758
[Tue Jun 25 12:59:28 2024] >> training [083]: 0.7492
[Tue Jun 25 12:59:30 2024] >> testing accuracy: 0.5737
[Tue Jun 25 12:59:51 2024] >> training [084]: 0.7524
[Tue Jun 25 12:59:53 2024] >> testing accuracy: 0.5738
[Tue Jun 25 13:00:13 2024] >> training [085]: 0.7550
[Tue Jun 25 13:00:15 2024] >> testing accuracy: 0.5781
[Tue Jun 25 13:00:36 2024] >> training [086]: 0.7570
[Tue Jun 25 13:00:38 2024] >> testing accuracy: 0.5785
[Tue Jun 25 13:00:58 2024] >> training [087]: 0.7595
[Tue Jun 25 13:01:00 2024] >> testing accuracy: 0.5779
[Tue Jun 25 13:01:21 2024] >> training [088]: 0.7606
[Tue Jun 25 13:01:23 2024] >> testing accuracy: 0.5715
[Tue Jun 25 13:01:43 2024] >> training [089]: 0.7645
[Tue Jun 25 13:01:45 2024] >> testing accuracy: 0.5792
[Tue Jun 25 13:02:05 2024] >> training [090]: 0.7682
[Tue Jun 25 13:02:07 2024] >> testing accuracy: 0.5734
[Tue Jun 25 13:02:27 2024] >> training [091]: 0.7681
[Tue Jun 25 13:02:29 2024] >> testing accuracy: 0.5781
[Tue Jun 25 13:02:48 2024] >> training [092]: 0.7715
[Tue Jun 25 13:02:50 2024] >> testing accuracy: 0.5757
[Tue Jun 25 13:03:10 2024] >> training [093]: 0.7752
[Tue Jun 25 13:03:12 2024] >> testing accuracy: 0.5688
[Tue Jun 25 13:03:31 2024] >> training [094]: 0.7756
[Tue Jun 25 13:03:33 2024] >> testing accuracy: 0.5782
[Tue Jun 25 13:03:53 2024] >> training [095]: 0.7795
[Tue Jun 25 13:03:55 2024] >> testing accuracy: 0.5773
[Tue Jun 25 13:04:15 2024] >> training [096]: 0.7829
[Tue Jun 25 13:04:17 2024] >> testing accuracy: 0.5763
[Tue Jun 25 13:04:37 2024] >> training [097]: 0.7818
[Tue Jun 25 13:04:39 2024] >> testing accuracy: 0.5849
[Tue Jun 25 13:04:59 2024] >> training [098]: 0.7844
[Tue Jun 25 13:05:01 2024] >> testing accuracy: 0.5832
[Tue Jun 25 13:05:21 2024] >> training [099]: 0.7869
[Tue Jun 25 13:05:23 2024] >> testing accuracy: 0.5785
[Tue Jun 25 13:05:23 2024] >> TRAINING RESULT SAVED: ./modeloutput/squeezenetCifar100.pt
[Tue Jun 25 13:05:23 2024] >> 
[Tue Jun 25 13:05:23 2024] >> network: resnet18Cifar100
[Tue Jun 25 13:05:42 2024] >> training [000]: 0.0733
[Tue Jun 25 13:05:44 2024] >> testing accuracy: 0.1119
[Tue Jun 25 13:06:02 2024] >> training [001]: 0.1528
[Tue Jun 25 13:06:04 2024] >> testing accuracy: 0.1827
[Tue Jun 25 13:06:23 2024] >> training [002]: 0.2080
[Tue Jun 25 13:06:25 2024] >> testing accuracy: 0.2168
[Tue Jun 25 13:06:44 2024] >> training [003]: 0.2562
[Tue Jun 25 13:06:46 2024] >> testing accuracy: 0.2707
[Tue Jun 25 13:07:04 2024] >> training [004]: 0.2938
[Tue Jun 25 13:07:06 2024] >> testing accuracy: 0.304
[Tue Jun 25 13:07:25 2024] >> training [005]: 0.3255
