[Thu Jun 27 13:53:35 2024] >> 
[Thu Jun 27 13:53:35 2024] >> PROGRAM START
[Thu Jun 27 13:59:27 2024] >> testing accuracy: 0.2413
[Thu Jun 27 13:59:46 2024] >> training [016]: 0.2585
[Thu Jun 27 13:59:48 2024] >> testing accuracy: 0.2418
[Thu Jun 27 14:00:08 2024] >> training [017]: 0.2636
[Thu Jun 27 14:00:10 2024] >> testing accuracy: 0.2436
[Thu Jun 27 14:00:30 2024] >> training [018]: 0.2673
[Thu Jun 27 14:00:32 2024] >> testing accuracy: 0.2649
[Thu Jun 27 14:00:51 2024] >> training [019]: 0.2780
[Thu Jun 27 14:00:53 2024] >> testing accuracy: 0.282
[Thu Jun 27 14:01:12 2024] >> training [020]: 0.2837
[Thu Jun 27 14:01:14 2024] >> testing accuracy: 0.2827
[Thu Jun 27 14:01:33 2024] >> training [021]: 0.2910
[Thu Jun 27 14:01:35 2024] >> testing accuracy: 0.2904
[Thu Jun 27 14:01:55 2024] >> training [022]: 0.2962
[Thu Jun 27 14:01:57 2024] >> testing accuracy: 0.2916
[Thu Jun 27 14:02:17 2024] >> training [023]: 0.3011
[Thu Jun 27 14:02:19 2024] >> testing accuracy: 0.2807
[Thu Jun 27 14:02:40 2024] >> training [024]: 0.3036
[Thu Jun 27 14:02:42 2024] >> testing accuracy: 0.3092
[Thu Jun 27 14:03:01 2024] >> training [025]: 0.3111
[Thu Jun 27 14:03:03 2024] >> testing accuracy: 0.2942
[Thu Jun 27 14:03:23 2024] >> training [026]: 0.3169
[Thu Jun 27 14:03:25 2024] >> testing accuracy: 0.3115
[Thu Jun 27 14:03:45 2024] >> training [027]: 0.3209
[Thu Jun 27 14:03:47 2024] >> testing accuracy: 0.3096
[Thu Jun 27 14:04:07 2024] >> training [028]: 0.3282
[Thu Jun 27 14:04:09 2024] >> testing accuracy: 0.3065
[Thu Jun 27 14:04:28 2024] >> training [029]: 0.3330
[Thu Jun 27 14:04:30 2024] >> testing accuracy: 0.3275
[Thu Jun 27 14:04:49 2024] >> training [030]: 0.3347
[Thu Jun 27 14:04:51 2024] >> testing accuracy: 0.3275
[Thu Jun 27 14:05:14 2024] >> training [031]: 0.3395
[Thu Jun 27 14:05:16 2024] >> testing accuracy: 0.342
[Thu Jun 27 14:05:40 2024] >> training [032]: 0.3486
[Thu Jun 27 14:05:42 2024] >> testing accuracy: 0.3285
[Thu Jun 27 14:06:05 2024] >> training [033]: 0.3525
[Thu Jun 27 14:06:07 2024] >> testing accuracy: 0.345
[Thu Jun 27 14:06:31 2024] >> training [034]: 0.3625
[Thu Jun 27 14:06:33 2024] >> testing accuracy: 0.3398
[Thu Jun 27 14:06:55 2024] >> training [035]: 0.3666
[Thu Jun 27 14:06:57 2024] >> testing accuracy: 0.3665
[Thu Jun 27 14:07:20 2024] >> training [036]: 0.3732
[Thu Jun 27 14:07:23 2024] >> testing accuracy: 0.3453
[Thu Jun 27 14:07:47 2024] >> training [037]: 0.3738
[Thu Jun 27 14:07:49 2024] >> testing accuracy: 0.3795
[Thu Jun 27 14:08:11 2024] >> training [038]: 0.3821
[Thu Jun 27 14:08:13 2024] >> testing accuracy: 0.3711
[Thu Jun 27 14:08:36 2024] >> training [039]: 0.3850
[Thu Jun 27 14:08:38 2024] >> testing accuracy: 0.3745
[Thu Jun 27 14:08:59 2024] >> training [040]: 0.3887
[Thu Jun 27 14:09:01 2024] >> testing accuracy: 0.3753
[Thu Jun 27 14:09:25 2024] >> training [041]: 0.3971
[Thu Jun 27 14:09:28 2024] >> testing accuracy: 0.3791
[Thu Jun 27 14:09:53 2024] >> training [042]: 0.3944
[Thu Jun 27 14:09:56 2024] >> testing accuracy: 0.3491
[Thu Jun 27 14:10:20 2024] >> training [043]: 0.3984
[Thu Jun 27 14:10:22 2024] >> testing accuracy: 0.3945
[Thu Jun 27 14:10:45 2024] >> training [044]: 0.4068
[Thu Jun 27 14:10:47 2024] >> testing accuracy: 0.3966
[Thu Jun 27 14:11:08 2024] >> training [045]: 0.4085
[Thu Jun 27 14:11:10 2024] >> testing accuracy: 0.3957
[Thu Jun 27 14:11:35 2024] >> training [046]: 0.4146
[Thu Jun 27 14:11:38 2024] >> testing accuracy: 0.3871
[Thu Jun 27 14:12:02 2024] >> training [047]: 0.4160
[Thu Jun 27 14:12:04 2024] >> testing accuracy: 0.3993
[Thu Jun 27 14:12:26 2024] >> training [048]: 0.4227
[Thu Jun 27 14:12:29 2024] >> testing accuracy: 0.4025
[Thu Jun 27 14:12:51 2024] >> training [049]: 0.4234
[Thu Jun 27 14:12:53 2024] >> testing accuracy: 0.4
[Thu Jun 27 14:13:16 2024] >> training [050]: 0.4299
[Thu Jun 27 14:13:18 2024] >> testing accuracy: 0.411
[Thu Jun 27 14:13:40 2024] >> training [051]: 0.4340
[Thu Jun 27 14:13:43 2024] >> testing accuracy: 0.4163
[Thu Jun 27 14:14:07 2024] >> training [052]: 0.4429
[Thu Jun 27 14:14:09 2024] >> testing accuracy: 0.4143
[Thu Jun 27 14:14:30 2024] >> training [053]: 0.4451
[Thu Jun 27 14:14:32 2024] >> testing accuracy: 0.4162
[Thu Jun 27 14:14:52 2024] >> training [054]: 0.4444
[Thu Jun 27 14:14:55 2024] >> testing accuracy: 0.4143
[Thu Jun 27 14:15:18 2024] >> training [055]: 0.4509
[Thu Jun 27 14:15:20 2024] >> testing accuracy: 0.4242
[Thu Jun 27 14:15:43 2024] >> training [056]: 0.4549
[Thu Jun 27 14:15:45 2024] >> testing accuracy: 0.4345
[Thu Jun 27 14:16:06 2024] >> training [057]: 0.4567
[Thu Jun 27 14:16:08 2024] >> testing accuracy: 0.4326
[Thu Jun 27 14:16:29 2024] >> training [058]: 0.4639
[Thu Jun 27 14:16:32 2024] >> testing accuracy: 0.432
[Thu Jun 27 14:16:54 2024] >> training [059]: 0.4660
[Thu Jun 27 14:16:56 2024] >> testing accuracy: 0.4284
[Thu Jun 27 14:17:16 2024] >> training [060]: 0.4665
[Thu Jun 27 14:17:18 2024] >> testing accuracy: 0.4489
[Thu Jun 27 14:17:37 2024] >> training [061]: 0.4697
[Thu Jun 27 14:17:39 2024] >> testing accuracy: 0.4476
[Thu Jun 27 14:17:59 2024] >> training [062]: 0.4731
[Thu Jun 27 14:18:01 2024] >> testing accuracy: 0.4404
[Thu Jun 27 14:18:21 2024] >> training [063]: 0.4784
[Thu Jun 27 14:18:23 2024] >> testing accuracy: 0.4562
[Thu Jun 27 14:18:45 2024] >> training [064]: 0.4822
[Thu Jun 27 14:18:47 2024] >> testing accuracy: 0.4513
[Thu Jun 27 14:19:10 2024] >> training [065]: 0.4851
[Thu Jun 27 14:19:12 2024] >> testing accuracy: 0.4467
[Thu Jun 27 14:19:34 2024] >> training [066]: 0.4862
[Thu Jun 27 14:19:37 2024] >> testing accuracy: 0.4436
[Thu Jun 27 14:19:58 2024] >> training [067]: 0.4883
[Thu Jun 27 14:20:01 2024] >> testing accuracy: 0.4599
[Thu Jun 27 14:20:21 2024] >> training [068]: 0.4915
[Thu Jun 27 14:20:23 2024] >> testing accuracy: 0.4537
[Thu Jun 27 14:20:43 2024] >> training [069]: 0.4985
[Thu Jun 27 14:20:45 2024] >> testing accuracy: 0.4541
[Thu Jun 27 14:21:04 2024] >> training [070]: 0.5006
[Thu Jun 27 14:21:06 2024] >> testing accuracy: 0.4622
[Thu Jun 27 14:21:26 2024] >> training [071]: 0.4997
[Thu Jun 27 14:21:28 2024] >> testing accuracy: 0.4643
[Thu Jun 27 14:21:48 2024] >> training [072]: 0.5057
[Thu Jun 27 14:21:50 2024] >> testing accuracy: 0.4621
[Thu Jun 27 14:22:09 2024] >> training [073]: 0.5113
[Thu Jun 27 14:22:11 2024] >> testing accuracy: 0.4825
[Thu Jun 27 14:22:31 2024] >> training [074]: 0.5121
[Thu Jun 27 14:22:33 2024] >> testing accuracy: 0.4655
[Thu Jun 27 14:22:53 2024] >> training [075]: 0.5171
[Thu Jun 27 14:22:55 2024] >> testing accuracy: 0.4706
[Thu Jun 27 14:23:14 2024] >> training [076]: 0.5212
[Thu Jun 27 14:23:16 2024] >> testing accuracy: 0.4762
[Thu Jun 27 14:23:36 2024] >> training [077]: 0.5198
[Thu Jun 27 14:23:38 2024] >> testing accuracy: 0.4564
[Thu Jun 27 14:23:59 2024] >> training [078]: 0.5232
[Thu Jun 27 14:24:01 2024] >> testing accuracy: 0.4667
[Thu Jun 27 14:24:23 2024] >> training [079]: 0.5282
[Thu Jun 27 14:24:25 2024] >> testing accuracy: 0.4766
[Thu Jun 27 14:24:47 2024] >> training [080]: 0.5330
[Thu Jun 27 14:24:49 2024] >> testing accuracy: 0.4852
[Thu Jun 27 14:25:10 2024] >> training [081]: 0.5336
[Thu Jun 27 14:25:12 2024] >> testing accuracy: 0.4772
[Thu Jun 27 14:25:33 2024] >> training [082]: 0.5337
[Thu Jun 27 14:25:35 2024] >> testing accuracy: 0.4895
[Thu Jun 27 14:25:55 2024] >> training [083]: 0.5388
[Thu Jun 27 14:25:57 2024] >> testing accuracy: 0.4949
[Thu Jun 27 14:26:17 2024] >> training [084]: 0.5405
[Thu Jun 27 14:26:19 2024] >> testing accuracy: 0.484
[Thu Jun 27 14:26:39 2024] >> training [085]: 0.5472
[Thu Jun 27 14:26:41 2024] >> testing accuracy: 0.4873
[Thu Jun 27 14:27:02 2024] >> training [086]: 0.5505
[Thu Jun 27 14:27:05 2024] >> testing accuracy: 0.4837
[Thu Jun 27 14:27:27 2024] >> training [087]: 0.5528
[Thu Jun 27 14:27:29 2024] >> testing accuracy: 0.5051
[Thu Jun 27 14:27:51 2024] >> training [088]: 0.5509
[Thu Jun 27 14:27:54 2024] >> testing accuracy: 0.4707
[Thu Jun 27 14:28:15 2024] >> training [089]: 0.5588
[Thu Jun 27 14:28:17 2024] >> testing accuracy: 0.4929
[Thu Jun 27 14:28:39 2024] >> training [090]: 0.5568
[Thu Jun 27 14:28:41 2024] >> testing accuracy: 0.4992
[Thu Jun 27 14:29:01 2024] >> training [091]: 0.5638
[Thu Jun 27 14:29:03 2024] >> testing accuracy: 0.4897
[Thu Jun 27 14:29:23 2024] >> training [092]: 0.5693
[Thu Jun 27 14:29:25 2024] >> testing accuracy: 0.5095
[Thu Jun 27 14:29:44 2024] >> training [093]: 0.5676
[Thu Jun 27 14:29:46 2024] >> testing accuracy: 0.5107
[Thu Jun 27 14:30:06 2024] >> training [094]: 0.5710
[Thu Jun 27 14:30:08 2024] >> testing accuracy: 0.5078
[Thu Jun 27 14:30:27 2024] >> training [095]: 0.5730
[Thu Jun 27 14:30:29 2024] >> testing accuracy: 0.5088
[Thu Jun 27 14:30:49 2024] >> training [096]: 0.5779
[Thu Jun 27 14:30:51 2024] >> testing accuracy: 0.5086
[Thu Jun 27 14:31:12 2024] >> training [097]: 0.5802
[Thu Jun 27 14:31:14 2024] >> testing accuracy: 0.507
[Thu Jun 27 14:31:37 2024] >> training [098]: 0.5820
[Thu Jun 27 14:31:39 2024] >> testing accuracy: 0.5002
[Thu Jun 27 14:32:02 2024] >> training [099]: 0.5849
[Thu Jun 27 14:32:04 2024] >> testing accuracy: 0.509
[Thu Jun 27 14:32:27 2024] >> training [100]: 0.5885
[Thu Jun 27 14:32:29 2024] >> testing accuracy: 0.5034
[Thu Jun 27 14:32:50 2024] >> training [101]: 0.5902
[Thu Jun 27 14:32:52 2024] >> testing accuracy: 0.5042
[Thu Jun 27 14:33:15 2024] >> training [102]: 0.5917
[Thu Jun 27 14:33:18 2024] >> testing accuracy: 0.5129
[Thu Jun 27 14:33:40 2024] >> training [103]: 0.5974
[Thu Jun 27 14:33:42 2024] >> testing accuracy: 0.5151
[Thu Jun 27 14:34:04 2024] >> training [104]: 0.5975
[Thu Jun 27 14:34:07 2024] >> testing accuracy: 0.5136
[Thu Jun 27 14:34:29 2024] >> training [105]: 0.6008
[Thu Jun 27 14:34:31 2024] >> testing accuracy: 0.52
[Thu Jun 27 14:34:54 2024] >> training [106]: 0.6063
[Thu Jun 27 14:34:56 2024] >> testing accuracy: 0.5151
[Thu Jun 27 14:35:18 2024] >> training [107]: 0.6099
[Thu Jun 27 14:35:21 2024] >> testing accuracy: 0.5173
[Thu Jun 27 14:35:43 2024] >> training [108]: 0.6107
[Thu Jun 27 14:35:45 2024] >> testing accuracy: 0.5157
[Thu Jun 27 14:36:08 2024] >> training [109]: 0.6115
[Thu Jun 27 14:36:10 2024] >> testing accuracy: 0.5174
[Thu Jun 27 14:36:30 2024] >> training [110]: 0.6132
[Thu Jun 27 14:36:32 2024] >> testing accuracy: 0.51
[Thu Jun 27 14:36:52 2024] >> training [111]: 0.6150
[Thu Jun 27 14:36:54 2024] >> testing accuracy: 0.5132
[Thu Jun 27 14:37:13 2024] >> training [112]: 0.6178
[Thu Jun 27 14:37:15 2024] >> testing accuracy: 0.5171
[Thu Jun 27 14:37:35 2024] >> training [113]: 0.6200
[Thu Jun 27 14:37:37 2024] >> testing accuracy: 0.5199
[Thu Jun 27 14:37:58 2024] >> training [114]: 0.6247
[Thu Jun 27 14:38:00 2024] >> testing accuracy: 0.5198
[Thu Jun 27 14:38:23 2024] >> training [115]: 0.6272
[Thu Jun 27 14:38:26 2024] >> testing accuracy: 0.5217
[Thu Jun 27 14:38:48 2024] >> training [116]: 0.6328
[Thu Jun 27 14:38:50 2024] >> testing accuracy: 0.5273
[Thu Jun 27 14:39:12 2024] >> training [117]: 0.6326
[Thu Jun 27 14:39:14 2024] >> testing accuracy: 0.5265
[Thu Jun 27 14:39:36 2024] >> training [118]: 0.6348
[Thu Jun 27 14:39:38 2024] >> testing accuracy: 0.5214
[Thu Jun 27 14:40:00 2024] >> training [119]: 0.6356
[Thu Jun 27 14:40:02 2024] >> testing accuracy: 0.5232
[Thu Jun 27 14:40:23 2024] >> training [120]: 0.6402
[Thu Jun 27 14:40:25 2024] >> testing accuracy: 0.5191
[Thu Jun 27 14:40:45 2024] >> training [121]: 0.6436
[Thu Jun 27 14:40:47 2024] >> testing accuracy: 0.5321
[Thu Jun 27 14:41:06 2024] >> training [122]: 0.6445
[Thu Jun 27 14:41:08 2024] >> testing accuracy: 0.5217
[Thu Jun 27 14:41:28 2024] >> training [123]: 0.6460
[Thu Jun 27 14:41:30 2024] >> testing accuracy: 0.5337
[Thu Jun 27 14:41:50 2024] >> training [124]: 0.6515
[Thu Jun 27 14:41:52 2024] >> testing accuracy: 0.5289
[Thu Jun 27 14:42:11 2024] >> training [125]: 0.6545
[Thu Jun 27 14:42:13 2024] >> testing accuracy: 0.525
[Thu Jun 27 14:42:33 2024] >> training [126]: 0.6548
[Thu Jun 27 14:42:35 2024] >> testing accuracy: 0.5307
[Thu Jun 27 14:42:55 2024] >> training [127]: 0.6548
[Thu Jun 27 14:42:57 2024] >> testing accuracy: 0.5379
[Thu Jun 27 14:43:17 2024] >> training [128]: 0.6613
[Thu Jun 27 14:43:19 2024] >> testing accuracy: 0.5338
[Thu Jun 27 14:43:39 2024] >> training [129]: 0.6624
[Thu Jun 27 14:43:41 2024] >> testing accuracy: 0.5305
[Thu Jun 27 14:44:00 2024] >> training [130]: 0.6622
[Thu Jun 27 14:44:02 2024] >> testing accuracy: 0.5279
[Thu Jun 27 14:44:22 2024] >> training [131]: 0.6694
[Thu Jun 27 14:44:24 2024] >> testing accuracy: 0.5286
[Thu Jun 27 14:44:44 2024] >> training [132]: 0.6712
[Thu Jun 27 14:44:46 2024] >> testing accuracy: 0.5375
[Thu Jun 27 14:45:05 2024] >> training [133]: 0.6774
[Thu Jun 27 14:45:07 2024] >> testing accuracy: 0.5348
[Thu Jun 27 14:45:27 2024] >> training [134]: 0.6759
[Thu Jun 27 14:45:29 2024] >> testing accuracy: 0.5439
[Thu Jun 27 14:45:49 2024] >> training [135]: 0.6758
[Thu Jun 27 14:45:51 2024] >> testing accuracy: 0.5434
[Thu Jun 27 14:46:11 2024] >> training [136]: 0.6802
[Thu Jun 27 14:46:13 2024] >> testing accuracy: 0.5371
[Thu Jun 27 14:46:32 2024] >> training [137]: 0.6841
[Thu Jun 27 14:46:34 2024] >> testing accuracy: 0.5324
[Thu Jun 27 14:46:54 2024] >> training [138]: 0.6860
[Thu Jun 27 14:46:56 2024] >> testing accuracy: 0.5398
[Thu Jun 27 14:47:16 2024] >> training [139]: 0.6854
[Thu Jun 27 14:47:18 2024] >> testing accuracy: 0.542
[Thu Jun 27 14:47:37 2024] >> training [140]: 0.6898
[Thu Jun 27 14:47:39 2024] >> testing accuracy: 0.5459
[Thu Jun 27 14:47:59 2024] >> training [141]: 0.6958
[Thu Jun 27 14:48:01 2024] >> testing accuracy: 0.541
[Thu Jun 27 14:48:21 2024] >> training [142]: 0.6963
[Thu Jun 27 14:48:23 2024] >> testing accuracy: 0.5336
[Thu Jun 27 14:48:43 2024] >> training [143]: 0.6975
[Thu Jun 27 14:48:45 2024] >> testing accuracy: 0.5422
[Thu Jun 27 14:49:05 2024] >> training [144]: 0.6987
[Thu Jun 27 14:49:07 2024] >> testing accuracy: 0.5404
[Thu Jun 27 14:49:27 2024] >> training [145]: 0.7005
[Thu Jun 27 14:49:29 2024] >> testing accuracy: 0.5397
[Thu Jun 27 14:49:50 2024] >> training [146]: 0.7054
[Thu Jun 27 14:49:52 2024] >> testing accuracy: 0.5422
[Thu Jun 27 14:50:12 2024] >> training [147]: 0.7063
[Thu Jun 27 14:50:14 2024] >> testing accuracy: 0.5521
[Thu Jun 27 14:50:35 2024] >> training [148]: 0.7086
[Thu Jun 27 14:50:37 2024] >> testing accuracy: 0.5337
[Thu Jun 27 14:50:58 2024] >> training [149]: 0.7126
[Thu Jun 27 14:51:00 2024] >> testing accuracy: 0.5482
[Thu Jun 27 14:51:21 2024] >> training [150]: 0.7128
[Thu Jun 27 14:51:24 2024] >> testing accuracy: 0.5342
[Thu Jun 27 14:51:47 2024] >> training [151]: 0.7191
[Thu Jun 27 14:51:50 2024] >> testing accuracy: 0.5412
[Thu Jun 27 14:52:12 2024] >> training [152]: 0.7212
[Thu Jun 27 14:52:14 2024] >> testing accuracy: 0.5431
[Thu Jun 27 14:52:36 2024] >> training [153]: 0.7224
[Thu Jun 27 14:52:38 2024] >> testing accuracy: 0.5353
[Thu Jun 27 14:53:01 2024] >> training [154]: 0.7229
[Thu Jun 27 14:53:03 2024] >> testing accuracy: 0.5405
[Thu Jun 27 14:53:25 2024] >> training [155]: 0.7264
[Thu Jun 27 14:53:27 2024] >> testing accuracy: 0.5431
[Thu Jun 27 14:53:49 2024] >> training [156]: 0.7267
[Thu Jun 27 14:53:52 2024] >> testing accuracy: 0.5368
[Thu Jun 27 14:54:15 2024] >> training [157]: 0.7337
[Thu Jun 27 14:54:17 2024] >> testing accuracy: 0.5441
[Thu Jun 27 14:54:38 2024] >> training [158]: 0.7336
[Thu Jun 27 14:54:41 2024] >> testing accuracy: 0.5457
[Thu Jun 27 14:55:01 2024] >> training [159]: 0.7376
[Thu Jun 27 14:55:03 2024] >> testing accuracy: 0.5362
[Thu Jun 27 14:55:22 2024] >> training [160]: 0.7370
[Thu Jun 27 14:55:25 2024] >> testing accuracy: 0.5494
[Thu Jun 27 14:55:45 2024] >> training [161]: 0.7398
[Thu Jun 27 14:55:47 2024] >> testing accuracy: 0.5431
[Thu Jun 27 14:56:10 2024] >> training [162]: 0.7420
[Thu Jun 27 14:56:12 2024] >> testing accuracy: 0.5489
[Thu Jun 27 14:56:33 2024] >> training [163]: 0.7476
[Thu Jun 27 14:56:36 2024] >> testing accuracy: 0.5487
[Thu Jun 27 14:56:57 2024] >> training [164]: 0.7518
[Thu Jun 27 14:57:00 2024] >> testing accuracy: 0.5449
[Thu Jun 27 14:57:19 2024] >> training [165]: 0.7536
[Thu Jun 27 14:57:21 2024] >> testing accuracy: 0.5487
[Thu Jun 27 14:57:41 2024] >> training [166]: 0.7535
[Thu Jun 27 14:57:43 2024] >> testing accuracy: 0.5487
[Thu Jun 27 14:58:05 2024] >> training [167]: 0.7539
[Thu Jun 27 14:58:08 2024] >> testing accuracy: 0.5539
[Thu Jun 27 14:58:30 2024] >> training [168]: 0.7619
[Thu Jun 27 14:58:32 2024] >> testing accuracy: 0.5523
[Thu Jun 27 14:58:54 2024] >> training [169]: 0.7584
[Thu Jun 27 14:58:57 2024] >> testing accuracy: 0.5463
[Thu Jun 27 14:59:18 2024] >> training [170]: 0.7625
[Thu Jun 27 14:59:20 2024] >> testing accuracy: 0.5491
[Thu Jun 27 14:59:42 2024] >> training [171]: 0.7635
[Thu Jun 27 14:59:45 2024] >> testing accuracy: 0.5441
[Thu Jun 27 15:00:07 2024] >> training [172]: 0.7672
[Thu Jun 27 15:00:09 2024] >> testing accuracy: 0.5472
[Thu Jun 27 15:00:32 2024] >> training [173]: 0.7704
[Thu Jun 27 15:00:34 2024] >> testing accuracy: 0.5494
[Thu Jun 27 15:00:56 2024] >> training [174]: 0.7707
[Thu Jun 27 15:00:58 2024] >> testing accuracy: 0.5477
[Thu Jun 27 15:01:20 2024] >> training [175]: 0.7756
[Thu Jun 27 15:01:23 2024] >> testing accuracy: 0.5457
[Thu Jun 27 15:01:45 2024] >> training [176]: 0.7742
[Thu Jun 27 15:01:48 2024] >> testing accuracy: 0.5533
[Thu Jun 27 15:02:09 2024] >> training [177]: 0.7755
[Thu Jun 27 15:02:11 2024] >> testing accuracy: 0.5508
[Thu Jun 27 15:02:33 2024] >> training [178]: 0.7759
[Thu Jun 27 15:02:35 2024] >> testing accuracy: 0.5449
[Thu Jun 27 15:02:56 2024] >> training [179]: 0.7820
[Thu Jun 27 15:02:59 2024] >> testing accuracy: 0.5523
[Thu Jun 27 15:03:22 2024] >> training [180]: 0.7849
[Thu Jun 27 15:03:24 2024] >> testing accuracy: 0.5471
[Thu Jun 27 15:03:44 2024] >> training [181]: 0.7848
[Thu Jun 27 15:03:46 2024] >> testing accuracy: 0.5482
[Thu Jun 27 15:04:06 2024] >> training [182]: 0.7880
[Thu Jun 27 15:04:08 2024] >> testing accuracy: 0.546
[Thu Jun 27 15:04:29 2024] >> training [183]: 0.7873
[Thu Jun 27 15:04:31 2024] >> testing accuracy: 0.5494
[Thu Jun 27 15:04:50 2024] >> training [184]: 0.7919
[Thu Jun 27 15:04:52 2024] >> testing accuracy: 0.5519
[Thu Jun 27 15:05:12 2024] >> training [185]: 0.7936
[Thu Jun 27 15:05:14 2024] >> testing accuracy: 0.5485
[Thu Jun 27 15:05:34 2024] >> training [186]: 0.7960
[Thu Jun 27 15:05:36 2024] >> testing accuracy: 0.5546
[Thu Jun 27 15:05:56 2024] >> training [187]: 0.7998
[Thu Jun 27 15:05:58 2024] >> testing accuracy: 0.5518
[Thu Jun 27 15:06:18 2024] >> training [188]: 0.7981
[Thu Jun 27 15:06:20 2024] >> testing accuracy: 0.552
[Thu Jun 27 15:06:40 2024] >> training [189]: 0.8016
[Thu Jun 27 15:06:42 2024] >> testing accuracy: 0.5565
[Thu Jun 27 15:07:02 2024] >> training [190]: 0.8047
[Thu Jun 27 15:07:04 2024] >> testing accuracy: 0.5509
[Thu Jun 27 15:07:23 2024] >> training [191]: 0.8051
[Thu Jun 27 15:07:25 2024] >> testing accuracy: 0.5509
[Thu Jun 27 15:07:45 2024] >> training [192]: 0.8095
[Thu Jun 27 15:07:47 2024] >> testing accuracy: 0.5482
[Thu Jun 27 15:08:07 2024] >> training [193]: 0.8098
[Thu Jun 27 15:08:09 2024] >> testing accuracy: 0.5439
[Thu Jun 27 15:08:28 2024] >> training [194]: 0.8097
[Thu Jun 27 15:08:30 2024] >> testing accuracy: 0.5476
[Thu Jun 27 15:08:50 2024] >> training [195]: 0.8122
[Thu Jun 27 15:08:52 2024] >> testing accuracy: 0.5563
[Thu Jun 27 15:09:12 2024] >> training [196]: 0.8157
[Thu Jun 27 15:09:14 2024] >> testing accuracy: 0.5512
[Thu Jun 27 15:09:33 2024] >> training [197]: 0.8163
[Thu Jun 27 15:09:35 2024] >> testing accuracy: 0.5526
[Thu Jun 27 15:09:54 2024] >> training [198]: 0.8191
[Thu Jun 27 15:09:56 2024] >> testing accuracy: 0.551
[Thu Jun 27 15:10:15 2024] >> training [199]: 0.8201
[Thu Jun 27 15:10:17 2024] >> testing accuracy: 0.5466
[Thu Jun 27 15:10:17 2024] >> TRAINING RESULT SAVED: ./modeloutput/darknetCifar100.pt
[Thu Jun 27 15:10:17 2024] >> 
[Thu Jun 27 15:10:17 2024] >> PROGRAM FINISHED
