[Thu Jun 27 13:52:19 2024] >> 
[Thu Jun 27 13:52:19 2024] >> PROGRAM START
[Thu Jun 27 13:59:21 2024] >> testing accuracy: 0.3218
[Thu Jun 27 13:59:40 2024] >> training [019]: 0.3384
[Thu Jun 27 13:59:42 2024] >> testing accuracy: 0.3402
[Thu Jun 27 14:00:02 2024] >> training [020]: 0.3458
[Thu Jun 27 14:00:04 2024] >> testing accuracy: 0.3465
[Thu Jun 27 14:00:24 2024] >> training [021]: 0.3527
[Thu Jun 27 14:00:26 2024] >> testing accuracy: 0.3516
[Thu Jun 27 14:00:45 2024] >> training [022]: 0.3592
[Thu Jun 27 14:00:47 2024] >> testing accuracy: 0.3609
[Thu Jun 27 14:01:07 2024] >> training [023]: 0.3646
[Thu Jun 27 14:01:09 2024] >> testing accuracy: 0.3584
[Thu Jun 27 14:01:28 2024] >> training [024]: 0.3732
[Thu Jun 27 14:01:30 2024] >> testing accuracy: 0.3658
[Thu Jun 27 14:01:49 2024] >> training [025]: 0.3790
[Thu Jun 27 14:01:51 2024] >> testing accuracy: 0.3739
[Thu Jun 27 14:02:11 2024] >> training [026]: 0.3862
[Thu Jun 27 14:02:13 2024] >> testing accuracy: 0.374
[Thu Jun 27 14:02:34 2024] >> training [027]: 0.3880
[Thu Jun 27 14:02:36 2024] >> testing accuracy: 0.3839
[Thu Jun 27 14:02:55 2024] >> training [028]: 0.3955
[Thu Jun 27 14:02:57 2024] >> testing accuracy: 0.3874
[Thu Jun 27 14:03:17 2024] >> training [029]: 0.4002
[Thu Jun 27 14:03:19 2024] >> testing accuracy: 0.3972
[Thu Jun 27 14:03:39 2024] >> training [030]: 0.4059
[Thu Jun 27 14:03:41 2024] >> testing accuracy: 0.3968
[Thu Jun 27 14:04:01 2024] >> training [031]: 0.4130
[Thu Jun 27 14:04:03 2024] >> testing accuracy: 0.3996
[Thu Jun 27 14:04:23 2024] >> training [032]: 0.4175
[Thu Jun 27 14:04:25 2024] >> testing accuracy: 0.3995
[Thu Jun 27 14:04:44 2024] >> training [033]: 0.4202
[Thu Jun 27 14:04:46 2024] >> testing accuracy: 0.4061
[Thu Jun 27 14:05:07 2024] >> training [034]: 0.4258
[Thu Jun 27 14:05:10 2024] >> testing accuracy: 0.4037
[Thu Jun 27 14:05:34 2024] >> training [035]: 0.4299
[Thu Jun 27 14:05:36 2024] >> testing accuracy: 0.4099
[Thu Jun 27 14:05:59 2024] >> training [036]: 0.4375
[Thu Jun 27 14:06:01 2024] >> testing accuracy: 0.4096
[Thu Jun 27 14:06:24 2024] >> training [037]: 0.4385
[Thu Jun 27 14:06:27 2024] >> testing accuracy: 0.4133
[Thu Jun 27 14:06:49 2024] >> training [038]: 0.4414
[Thu Jun 27 14:06:51 2024] >> testing accuracy: 0.4174
[Thu Jun 27 14:07:14 2024] >> training [039]: 0.4464
[Thu Jun 27 14:07:16 2024] >> testing accuracy: 0.4184
[Thu Jun 27 14:07:40 2024] >> training [040]: 0.4502
[Thu Jun 27 14:07:43 2024] >> testing accuracy: 0.4218
[Thu Jun 27 14:08:04 2024] >> training [041]: 0.4569
[Thu Jun 27 14:08:06 2024] >> testing accuracy: 0.4245
[Thu Jun 27 14:08:30 2024] >> training [042]: 0.4579
[Thu Jun 27 14:08:32 2024] >> testing accuracy: 0.4268
[Thu Jun 27 14:08:54 2024] >> training [043]: 0.4623
[Thu Jun 27 14:08:56 2024] >> testing accuracy: 0.4327
[Thu Jun 27 14:09:18 2024] >> training [044]: 0.4642
[Thu Jun 27 14:09:21 2024] >> testing accuracy: 0.438
[Thu Jun 27 14:09:45 2024] >> training [045]: 0.4691
[Thu Jun 27 14:09:48 2024] >> testing accuracy: 0.4349
[Thu Jun 27 14:10:13 2024] >> training [046]: 0.4745
[Thu Jun 27 14:10:15 2024] >> testing accuracy: 0.4344
[Thu Jun 27 14:10:39 2024] >> training [047]: 0.4805
[Thu Jun 27 14:10:42 2024] >> testing accuracy: 0.4234
[Thu Jun 27 14:11:03 2024] >> training [048]: 0.4824
[Thu Jun 27 14:11:05 2024] >> testing accuracy: 0.4375
[Thu Jun 27 14:11:28 2024] >> training [049]: 0.4848
[Thu Jun 27 14:11:31 2024] >> testing accuracy: 0.4398
[Thu Jun 27 14:11:55 2024] >> training [050]: 0.4872
[Thu Jun 27 14:11:58 2024] >> testing accuracy: 0.4437
[Thu Jun 27 14:12:20 2024] >> training [051]: 0.4919
[Thu Jun 27 14:12:22 2024] >> testing accuracy: 0.4415
[Thu Jun 27 14:12:45 2024] >> training [052]: 0.4962
[Thu Jun 27 14:12:47 2024] >> testing accuracy: 0.4481
[Thu Jun 27 14:13:09 2024] >> training [053]: 0.4969
[Thu Jun 27 14:13:12 2024] >> testing accuracy: 0.4443
[Thu Jun 27 14:13:34 2024] >> training [054]: 0.4987
[Thu Jun 27 14:13:36 2024] >> testing accuracy: 0.4514
[Thu Jun 27 14:14:00 2024] >> training [055]: 0.5051
[Thu Jun 27 14:14:03 2024] >> testing accuracy: 0.4522
[Thu Jun 27 14:14:24 2024] >> training [056]: 0.5060
[Thu Jun 27 14:14:27 2024] >> testing accuracy: 0.4521
[Thu Jun 27 14:14:47 2024] >> training [057]: 0.5099
[Thu Jun 27 14:14:49 2024] >> testing accuracy: 0.4515
[Thu Jun 27 14:15:11 2024] >> training [058]: 0.5126
[Thu Jun 27 14:15:14 2024] >> testing accuracy: 0.454
[Thu Jun 27 14:15:36 2024] >> training [059]: 0.5166
[Thu Jun 27 14:15:39 2024] >> testing accuracy: 0.458
[Thu Jun 27 14:16:01 2024] >> training [060]: 0.5204
[Thu Jun 27 14:16:03 2024] >> testing accuracy: 0.4597
[Thu Jun 27 14:16:24 2024] >> training [061]: 0.5206
[Thu Jun 27 14:16:26 2024] >> testing accuracy: 0.464
[Thu Jun 27 14:16:49 2024] >> training [062]: 0.5264
[Thu Jun 27 14:16:51 2024] >> testing accuracy: 0.4624
[Thu Jun 27 14:17:11 2024] >> training [063]: 0.5281
[Thu Jun 27 14:17:12 2024] >> testing accuracy: 0.459
[Thu Jun 27 14:17:32 2024] >> training [064]: 0.5289
[Thu Jun 27 14:17:34 2024] >> testing accuracy: 0.4651
[Thu Jun 27 14:17:54 2024] >> training [065]: 0.5397
[Thu Jun 27 14:17:56 2024] >> testing accuracy: 0.4584
[Thu Jun 27 14:18:15 2024] >> training [066]: 0.5359
[Thu Jun 27 14:18:17 2024] >> testing accuracy: 0.4646
[Thu Jun 27 14:18:39 2024] >> training [067]: 0.5416
[Thu Jun 27 14:18:42 2024] >> testing accuracy: 0.4623
[Thu Jun 27 14:19:04 2024] >> training [068]: 0.5396
[Thu Jun 27 14:19:07 2024] >> testing accuracy: 0.464
[Thu Jun 27 14:19:29 2024] >> training [069]: 0.5452
[Thu Jun 27 14:19:31 2024] >> testing accuracy: 0.4576
[Thu Jun 27 14:19:53 2024] >> training [070]: 0.5489
[Thu Jun 27 14:19:56 2024] >> testing accuracy: 0.4686
[Thu Jun 27 14:20:16 2024] >> training [071]: 0.5529
[Thu Jun 27 14:20:18 2024] >> testing accuracy: 0.466
[Thu Jun 27 14:20:38 2024] >> training [072]: 0.5531
[Thu Jun 27 14:20:40 2024] >> testing accuracy: 0.4578
[Thu Jun 27 14:21:00 2024] >> training [073]: 0.5584
[Thu Jun 27 14:21:02 2024] >> testing accuracy: 0.4677
[Thu Jun 27 14:21:21 2024] >> training [074]: 0.5588
[Thu Jun 27 14:21:23 2024] >> testing accuracy: 0.4711
[Thu Jun 27 14:21:43 2024] >> training [075]: 0.5597
[Thu Jun 27 14:21:45 2024] >> testing accuracy: 0.4713
[Thu Jun 27 14:22:05 2024] >> training [076]: 0.5638
[Thu Jun 27 14:22:07 2024] >> testing accuracy: 0.4697
[Thu Jun 27 14:22:26 2024] >> training [077]: 0.5652
[Thu Jun 27 14:22:28 2024] >> testing accuracy: 0.4728
[Thu Jun 27 14:22:48 2024] >> training [078]: 0.5707
[Thu Jun 27 14:22:50 2024] >> testing accuracy: 0.4738
[Thu Jun 27 14:23:10 2024] >> training [079]: 0.5706
[Thu Jun 27 14:23:12 2024] >> testing accuracy: 0.4735
[Thu Jun 27 14:23:32 2024] >> training [080]: 0.5760
[Thu Jun 27 14:23:34 2024] >> testing accuracy: 0.4782
[Thu Jun 27 14:23:54 2024] >> training [081]: 0.5778
[Thu Jun 27 14:23:57 2024] >> testing accuracy: 0.4722
[Thu Jun 27 14:24:18 2024] >> training [082]: 0.5805
[Thu Jun 27 14:24:20 2024] >> testing accuracy: 0.4696
[Thu Jun 27 14:24:42 2024] >> training [083]: 0.5788
[Thu Jun 27 14:24:44 2024] >> testing accuracy: 0.4715
[Thu Jun 27 14:25:05 2024] >> training [084]: 0.5860
[Thu Jun 27 14:25:07 2024] >> testing accuracy: 0.4729
[Thu Jun 27 14:25:29 2024] >> training [085]: 0.5876
[Thu Jun 27 14:25:31 2024] >> testing accuracy: 0.4742
[Thu Jun 27 14:25:51 2024] >> training [086]: 0.5915
[Thu Jun 27 14:25:53 2024] >> testing accuracy: 0.4738
[Thu Jun 27 14:26:13 2024] >> training [087]: 0.5929
[Thu Jun 27 14:26:15 2024] >> testing accuracy: 0.4719
[Thu Jun 27 14:26:34 2024] >> training [088]: 0.5963
[Thu Jun 27 14:26:36 2024] >> testing accuracy: 0.4729
[Thu Jun 27 14:26:58 2024] >> training [089]: 0.5943
[Thu Jun 27 14:27:00 2024] >> testing accuracy: 0.4784
[Thu Jun 27 14:27:22 2024] >> training [090]: 0.5992
[Thu Jun 27 14:27:24 2024] >> testing accuracy: 0.4763
[Thu Jun 27 14:27:47 2024] >> training [091]: 0.6001
[Thu Jun 27 14:27:49 2024] >> testing accuracy: 0.4739
[Thu Jun 27 14:28:11 2024] >> training [092]: 0.6064
[Thu Jun 27 14:28:13 2024] >> testing accuracy: 0.4799
[Thu Jun 27 14:28:34 2024] >> training [093]: 0.6107
[Thu Jun 27 14:28:37 2024] >> testing accuracy: 0.4757
[Thu Jun 27 14:28:57 2024] >> training [094]: 0.6064
[Thu Jun 27 14:28:59 2024] >> testing accuracy: 0.4728
[Thu Jun 27 14:29:18 2024] >> training [095]: 0.6125
[Thu Jun 27 14:29:20 2024] >> testing accuracy: 0.4686
[Thu Jun 27 14:29:40 2024] >> training [096]: 0.6153
[Thu Jun 27 14:29:42 2024] >> testing accuracy: 0.4746
[Thu Jun 27 14:30:02 2024] >> training [097]: 0.6124
[Thu Jun 27 14:30:04 2024] >> testing accuracy: 0.4757
[Thu Jun 27 14:30:23 2024] >> training [098]: 0.6180
[Thu Jun 27 14:30:25 2024] >> testing accuracy: 0.4789
[Thu Jun 27 14:30:45 2024] >> training [099]: 0.6172
[Thu Jun 27 14:30:47 2024] >> testing accuracy: 0.4792
[Thu Jun 27 14:31:07 2024] >> training [100]: 0.6216
[Thu Jun 27 14:31:10 2024] >> testing accuracy: 0.4784
[Thu Jun 27 14:31:32 2024] >> training [101]: 0.6240
[Thu Jun 27 14:31:35 2024] >> testing accuracy: 0.4778
[Thu Jun 27 14:31:58 2024] >> training [102]: 0.6244
[Thu Jun 27 14:32:00 2024] >> testing accuracy: 0.4831
[Thu Jun 27 14:32:23 2024] >> training [103]: 0.6266
[Thu Jun 27 14:32:25 2024] >> testing accuracy: 0.475
[Thu Jun 27 14:32:45 2024] >> training [104]: 0.6289
[Thu Jun 27 14:32:48 2024] >> testing accuracy: 0.4796
[Thu Jun 27 14:33:11 2024] >> training [105]: 0.6299
[Thu Jun 27 14:33:14 2024] >> testing accuracy: 0.4757
[Thu Jun 27 14:33:36 2024] >> training [106]: 0.6376
[Thu Jun 27 14:33:38 2024] >> testing accuracy: 0.4801
[Thu Jun 27 14:34:00 2024] >> training [107]: 0.6371
[Thu Jun 27 14:34:03 2024] >> testing accuracy: 0.477
[Thu Jun 27 14:34:25 2024] >> training [108]: 0.6415
[Thu Jun 27 14:34:28 2024] >> testing accuracy: 0.4838
[Thu Jun 27 14:34:50 2024] >> training [109]: 0.6383
[Thu Jun 27 14:34:52 2024] >> testing accuracy: 0.4792
[Thu Jun 27 14:35:15 2024] >> training [110]: 0.6434
[Thu Jun 27 14:35:17 2024] >> testing accuracy: 0.4805
[Thu Jun 27 14:35:39 2024] >> training [111]: 0.6453
[Thu Jun 27 14:35:41 2024] >> testing accuracy: 0.48
[Thu Jun 27 14:36:04 2024] >> training [112]: 0.6459
[Thu Jun 27 14:36:06 2024] >> testing accuracy: 0.4698
[Thu Jun 27 14:36:27 2024] >> training [113]: 0.6451
[Thu Jun 27 14:36:29 2024] >> testing accuracy: 0.4779
[Thu Jun 27 14:36:49 2024] >> training [114]: 0.6498
[Thu Jun 27 14:36:51 2024] >> testing accuracy: 0.4803
[Thu Jun 27 14:37:11 2024] >> training [115]: 0.6528
[Thu Jun 27 14:37:13 2024] >> testing accuracy: 0.4808
[Thu Jun 27 14:37:32 2024] >> training [116]: 0.6516
[Thu Jun 27 14:37:34 2024] >> testing accuracy: 0.4826
[Thu Jun 27 14:37:55 2024] >> training [117]: 0.6576
[Thu Jun 27 14:37:57 2024] >> testing accuracy: 0.48
[Thu Jun 27 14:38:20 2024] >> training [118]: 0.6576
[Thu Jun 27 14:38:23 2024] >> testing accuracy: 0.475
[Thu Jun 27 14:38:45 2024] >> training [119]: 0.6562
[Thu Jun 27 14:38:47 2024] >> testing accuracy: 0.4773
[Thu Jun 27 14:39:09 2024] >> training [120]: 0.6589
[Thu Jun 27 14:39:11 2024] >> testing accuracy: 0.479
[Thu Jun 27 14:39:33 2024] >> training [121]: 0.6625
[Thu Jun 27 14:39:35 2024] >> testing accuracy: 0.4814
[Thu Jun 27 14:39:57 2024] >> training [122]: 0.6626
[Thu Jun 27 14:39:59 2024] >> testing accuracy: 0.4727
[Thu Jun 27 14:40:20 2024] >> training [123]: 0.6646
[Thu Jun 27 14:40:22 2024] >> testing accuracy: 0.4787
[Thu Jun 27 14:40:42 2024] >> training [124]: 0.6662
[Thu Jun 27 14:40:44 2024] >> testing accuracy: 0.4793
[Thu Jun 27 14:41:04 2024] >> training [125]: 0.6636
[Thu Jun 27 14:41:06 2024] >> testing accuracy: 0.4829
[Thu Jun 27 14:41:26 2024] >> training [126]: 0.6689
[Thu Jun 27 14:41:28 2024] >> testing accuracy: 0.4798
[Thu Jun 27 14:41:47 2024] >> training [127]: 0.6717
[Thu Jun 27 14:41:49 2024] >> testing accuracy: 0.4777
[Thu Jun 27 14:42:09 2024] >> training [128]: 0.6734
[Thu Jun 27 14:42:11 2024] >> testing accuracy: 0.485
[Thu Jun 27 14:42:31 2024] >> training [129]: 0.6742
[Thu Jun 27 14:42:33 2024] >> testing accuracy: 0.4811
[Thu Jun 27 14:42:53 2024] >> training [130]: 0.6752
[Thu Jun 27 14:42:55 2024] >> testing accuracy: 0.4835
[Thu Jun 27 14:43:15 2024] >> training [131]: 0.6778
[Thu Jun 27 14:43:17 2024] >> testing accuracy: 0.4764
[Thu Jun 27 14:43:37 2024] >> training [132]: 0.6773
[Thu Jun 27 14:43:39 2024] >> testing accuracy: 0.4809
[Thu Jun 27 14:43:59 2024] >> training [133]: 0.6826
[Thu Jun 27 14:44:01 2024] >> testing accuracy: 0.4726
[Thu Jun 27 14:44:20 2024] >> training [134]: 0.6812
[Thu Jun 27 14:44:22 2024] >> testing accuracy: 0.4805
[Thu Jun 27 14:44:42 2024] >> training [135]: 0.6822
[Thu Jun 27 14:44:44 2024] >> testing accuracy: 0.4803
[Thu Jun 27 14:45:04 2024] >> training [136]: 0.6841
[Thu Jun 27 14:45:06 2024] >> testing accuracy: 0.4819
[Thu Jun 27 14:45:25 2024] >> training [137]: 0.6862
[Thu Jun 27 14:45:27 2024] >> testing accuracy: 0.4863
[Thu Jun 27 14:45:47 2024] >> training [138]: 0.6884
[Thu Jun 27 14:45:49 2024] >> testing accuracy: 0.4818
[Thu Jun 27 14:46:09 2024] >> training [139]: 0.6883
[Thu Jun 27 14:46:11 2024] >> testing accuracy: 0.4787
[Thu Jun 27 14:46:31 2024] >> training [140]: 0.6908
[Thu Jun 27 14:46:32 2024] >> testing accuracy: 0.4818
[Thu Jun 27 14:46:52 2024] >> training [141]: 0.6909
[Thu Jun 27 14:46:54 2024] >> testing accuracy: 0.4784
[Thu Jun 27 14:47:14 2024] >> training [142]: 0.6914
[Thu Jun 27 14:47:16 2024] >> testing accuracy: 0.4815
[Thu Jun 27 14:47:36 2024] >> training [143]: 0.6925
[Thu Jun 27 14:47:38 2024] >> testing accuracy: 0.4788
[Thu Jun 27 14:47:57 2024] >> training [144]: 0.6948
[Thu Jun 27 14:48:00 2024] >> testing accuracy: 0.478
[Thu Jun 27 14:48:19 2024] >> training [145]: 0.6974
[Thu Jun 27 14:48:21 2024] >> testing accuracy: 0.4799
[Thu Jun 27 14:48:41 2024] >> training [146]: 0.6986
[Thu Jun 27 14:48:43 2024] >> testing accuracy: 0.4758
[Thu Jun 27 14:49:03 2024] >> training [147]: 0.6993
[Thu Jun 27 14:49:05 2024] >> testing accuracy: 0.4792
[Thu Jun 27 14:49:25 2024] >> training [148]: 0.6988
[Thu Jun 27 14:49:27 2024] >> testing accuracy: 0.4761
[Thu Jun 27 14:49:49 2024] >> training [149]: 0.6998
[Thu Jun 27 14:49:51 2024] >> testing accuracy: 0.4822
[Thu Jun 27 14:50:10 2024] >> training [150]: 0.6983
[Thu Jun 27 14:50:12 2024] >> testing accuracy: 0.4805
[Thu Jun 27 14:50:33 2024] >> training [151]: 0.7035
[Thu Jun 27 14:50:35 2024] >> testing accuracy: 0.4775
[Thu Jun 27 14:50:56 2024] >> training [152]: 0.7028
[Thu Jun 27 14:50:58 2024] >> testing accuracy: 0.4815
[Thu Jun 27 14:51:20 2024] >> training [153]: 0.7075
[Thu Jun 27 14:51:22 2024] >> testing accuracy: 0.4748
[Thu Jun 27 14:51:45 2024] >> training [154]: 0.7069
[Thu Jun 27 14:51:48 2024] >> testing accuracy: 0.4774
[Thu Jun 27 14:52:10 2024] >> training [155]: 0.7063
[Thu Jun 27 14:52:13 2024] >> testing accuracy: 0.4814
[Thu Jun 27 14:52:34 2024] >> training [156]: 0.7062
[Thu Jun 27 14:52:37 2024] >> testing accuracy: 0.4749
[Thu Jun 27 14:52:59 2024] >> training [157]: 0.7088
[Thu Jun 27 14:53:02 2024] >> testing accuracy: 0.4803
[Thu Jun 27 14:53:24 2024] >> training [158]: 0.7121
[Thu Jun 27 14:53:26 2024] >> testing accuracy: 0.4758
[Thu Jun 27 14:53:48 2024] >> training [159]: 0.7110
[Thu Jun 27 14:53:50 2024] >> testing accuracy: 0.4773
[Thu Jun 27 14:54:13 2024] >> training [160]: 0.7101
[Thu Jun 27 14:54:15 2024] >> testing accuracy: 0.4797
[Thu Jun 27 14:54:37 2024] >> training [161]: 0.7134
[Thu Jun 27 14:54:39 2024] >> testing accuracy: 0.4832
[Thu Jun 27 14:54:59 2024] >> training [162]: 0.7139
[Thu Jun 27 14:55:01 2024] >> testing accuracy: 0.4797
[Thu Jun 27 14:55:21 2024] >> training [163]: 0.7137
[Thu Jun 27 14:55:23 2024] >> testing accuracy: 0.478
[Thu Jun 27 14:55:44 2024] >> training [164]: 0.7149
[Thu Jun 27 14:55:46 2024] >> testing accuracy: 0.4753
[Thu Jun 27 14:56:08 2024] >> training [165]: 0.7172
[Thu Jun 27 14:56:10 2024] >> testing accuracy: 0.4804
[Thu Jun 27 14:56:32 2024] >> training [166]: 0.7212
[Thu Jun 27 14:56:34 2024] >> testing accuracy: 0.4817
[Thu Jun 27 14:56:56 2024] >> training [167]: 0.7190
[Thu Jun 27 14:56:58 2024] >> testing accuracy: 0.4765
[Thu Jun 27 14:57:18 2024] >> training [168]: 0.7191
[Thu Jun 27 14:57:20 2024] >> testing accuracy: 0.484
[Thu Jun 27 14:57:40 2024] >> training [169]: 0.7167
[Thu Jun 27 14:57:42 2024] >> testing accuracy: 0.4809
[Thu Jun 27 14:58:04 2024] >> training [170]: 0.7216
[Thu Jun 27 14:58:06 2024] >> testing accuracy: 0.4772
[Thu Jun 27 14:58:29 2024] >> training [171]: 0.7203
[Thu Jun 27 14:58:31 2024] >> testing accuracy: 0.4802
[Thu Jun 27 14:58:53 2024] >> training [172]: 0.7190
[Thu Jun 27 14:58:55 2024] >> testing accuracy: 0.4784
[Thu Jun 27 14:59:17 2024] >> training [173]: 0.7208
[Thu Jun 27 14:59:19 2024] >> testing accuracy: 0.4782
[Thu Jun 27 14:59:41 2024] >> training [174]: 0.7233
[Thu Jun 27 14:59:43 2024] >> testing accuracy: 0.4831
[Thu Jun 27 15:00:06 2024] >> training [175]: 0.7218
[Thu Jun 27 15:00:08 2024] >> testing accuracy: 0.481
[Thu Jun 27 15:00:30 2024] >> training [176]: 0.7226
[Thu Jun 27 15:00:33 2024] >> testing accuracy: 0.4763
[Thu Jun 27 15:00:55 2024] >> training [177]: 0.7246
[Thu Jun 27 15:00:57 2024] >> testing accuracy: 0.4814
[Thu Jun 27 15:01:19 2024] >> training [178]: 0.7250
[Thu Jun 27 15:01:21 2024] >> testing accuracy: 0.4781
[Thu Jun 27 15:01:44 2024] >> training [179]: 0.7305
[Thu Jun 27 15:01:47 2024] >> testing accuracy: 0.4799
[Thu Jun 27 15:02:08 2024] >> training [180]: 0.7292
[Thu Jun 27 15:02:10 2024] >> testing accuracy: 0.4766
[Thu Jun 27 15:02:32 2024] >> training [181]: 0.7263
[Thu Jun 27 15:02:34 2024] >> testing accuracy: 0.4752
[Thu Jun 27 15:02:56 2024] >> training [182]: 0.7247
[Thu Jun 27 15:02:58 2024] >> testing accuracy: 0.4804
[Thu Jun 27 15:03:21 2024] >> training [183]: 0.7301
[Thu Jun 27 15:03:23 2024] >> testing accuracy: 0.4738
[Thu Jun 27 15:03:43 2024] >> training [184]: 0.7248
[Thu Jun 27 15:03:45 2024] >> testing accuracy: 0.4828
[Thu Jun 27 15:04:05 2024] >> training [185]: 0.7322
[Thu Jun 27 15:04:07 2024] >> testing accuracy: 0.4806
[Thu Jun 27 15:04:28 2024] >> training [186]: 0.7346
[Thu Jun 27 15:04:30 2024] >> testing accuracy: 0.4816
[Thu Jun 27 15:04:50 2024] >> training [187]: 0.7305
[Thu Jun 27 15:04:52 2024] >> testing accuracy: 0.4801
[Thu Jun 27 15:05:12 2024] >> training [188]: 0.7318
[Thu Jun 27 15:05:14 2024] >> testing accuracy: 0.4781
[Thu Jun 27 15:05:34 2024] >> training [189]: 0.7330
[Thu Jun 27 15:05:36 2024] >> testing accuracy: 0.479
[Thu Jun 27 15:05:56 2024] >> training [190]: 0.7347
[Thu Jun 27 15:05:58 2024] >> testing accuracy: 0.4799
[Thu Jun 27 15:06:18 2024] >> training [191]: 0.7320
[Thu Jun 27 15:06:20 2024] >> testing accuracy: 0.4805
[Thu Jun 27 15:06:40 2024] >> training [192]: 0.7346
[Thu Jun 27 15:06:42 2024] >> testing accuracy: 0.4751
[Thu Jun 27 15:07:01 2024] >> training [193]: 0.7333
[Thu Jun 27 15:07:03 2024] >> testing accuracy: 0.4771
[Thu Jun 27 15:07:23 2024] >> training [194]: 0.7358
[Thu Jun 27 15:07:25 2024] >> testing accuracy: 0.4774
[Thu Jun 27 15:07:45 2024] >> training [195]: 0.7328
[Thu Jun 27 15:07:47 2024] >> testing accuracy: 0.4756
[Thu Jun 27 15:08:06 2024] >> training [196]: 0.7355
[Thu Jun 27 15:08:08 2024] >> testing accuracy: 0.4757
[Thu Jun 27 15:08:28 2024] >> training [197]: 0.7372
[Thu Jun 27 15:08:30 2024] >> testing accuracy: 0.478
[Thu Jun 27 15:08:50 2024] >> training [198]: 0.7387
[Thu Jun 27 15:08:52 2024] >> testing accuracy: 0.4769
[Thu Jun 27 15:09:11 2024] >> training [199]: 0.7385
[Thu Jun 27 15:09:13 2024] >> testing accuracy: 0.4802
[Thu Jun 27 15:09:14 2024] >> TRAINING RESULT SAVED: ./modeloutput/darknetCifar100.pt
[Thu Jun 27 15:09:14 2024] >> 
[Thu Jun 27 15:09:14 2024] >> PROGRAM FINISHED
